"Nome da Imagem","Tipo da Imagem","Tamanho Original (Bytes)","Algoritmo","Tamanho Comprimido (Bytes)","Taxa de Compressão (%)","Tempo de Compressão (ms)","Tempo de Descompressão (ms)"
"2.1.01.bmp","Geral",1048576,"Huffman",867512,"17.27","134.17","99.87"
"2.1.01.bmp","Geral",1048576,"LZW",746890,"28.77","243.76","66.34"
"2.1.02.bmp","Geral",1048576,"Huffman",854028,"18.55","121.98","99.35"
"2.1.02.bmp","Geral",1048576,"LZW",731514,"30.24","332.31","66.26"
"2.1.03.bmp","Geral",1048576,"Huffman",800726,"23.64","118.09","124.15"
"2.1.03.bmp","Geral",1048576,"LZW",601334,"42.65","219.03","53.40"
"2.1.04.bmp","Geral",1048576,"Huffman",820129,"21.79","111.71","95.11"
"2.1.04.bmp","Geral",1048576,"LZW",673674,"35.75","264.65","58.77"
"2.1.05.bmp","Geral",1048576,"Huffman",877864,"16.28","112.00","106.96"
"2.1.05.bmp","Geral",1048576,"LZW",731764,"30.21","247.52","62.36"
"2.1.06.bmp","Geral",1048576,"Huffman",861527,"17.84","96.84","105.79"
"2.1.06.bmp","Geral",1048576,"LZW",799576,"23.75","232.22","81.60"
"2.1.07.bmp","Geral",1048576,"Huffman",797911,"23.91","86.32","91.67"
"2.1.07.bmp","Geral",1048576,"LZW",634608,"39.48","178.11","68.97"
"2.1.08.bmp","Geral",1048576,"Huffman",755573,"27.94","84.39","58.33"
"2.1.08.bmp","Geral",1048576,"LZW",638194,"39.14","307.43","62.93"
"2.1.09.bmp","Geral",1048576,"Huffman",797268,"23.97","87.43","59.80"
"2.1.09.bmp","Geral",1048576,"LZW",604330,"42.37","202.70","70.04"
"2.1.10.bmp","Geral",1048576,"Huffman",808898,"22.86","85.42","59.80"
"2.1.10.bmp","Geral",1048576,"LZW",638000,"39.16","182.01","75.30"